,transcription,action,object,location
6779,OK now switch the main language to English,change language,English,none
6780,Bring the newspaper,bring,newspaper,none
6781,Turn the temperature in the bedroom up,increase,heat,bedroom
6782,Too quiet,increase,volume,none
6783,Turn the kitchen lights on,activate,lights,kitchen
6784,Turn the kitchen temperature down,decrease,heat,kitchen
6785,Make the music louder,increase,volume,none
6786,Increase the heating,increase,heat,none
6787,Kitchen heat up,increase,heat,kitchen
6788,Pause music,deactivate,music,none
6789,Use a different language,change language,none,none
6790,Bathroom heat up,increase,heat,washroom
6791,Increase the temperature in the bedroom,increase,heat,bedroom
6792,Turn up the volume,increase,volume,none
6793,Heat down,decrease,heat,none
6794,Turn the volume up,increase,volume,none
6795,Increase the temperature in the washroom,increase,heat,washroom
6796,Turn up the volume,increase,volume,none
6797,Turn up the volume,increase,volume,none
6798,Could you decrease the heating?,decrease,heat,none
6799,Turn the heat up in the washroom,increase,heat,washroom
6800,Louder please,increase,volume,none
6801,Switch on the washroom lights,activate,lights,washroom
6802,Bring shoes,bring,shoes,none
6803,Turn the temperature in the bedroom down,decrease,heat,bedroom
6804,Play,activate,music,none
6805,Turn the temperature in the bedroom down,decrease,heat,bedroom
6806,OK now switch the main language to German,change language,German,none
6807,Far too quiet,increase,volume,none
6808,Volume mute,decrease,volume,none
6809,Increase the volume,increase,volume,none
6810,Switch on the lamp,activate,lamp,none
6811,Could you increase the heating?,increase,heat,none
6812,Switch on the lights in the kitchen,activate,lights,kitchen
6813,Turn off the lamp,deactivate,lamp,none
6814,Too loud,decrease,volume,none
6815,Set my phone's language to German,change language,German,none
6816,Bathroom heat up,increase,heat,washroom
6817,Turn the heat down in the washroom,decrease,heat,washroom
6818,Bathroom lights on,activate,lights,washroom
6819,Set language to Chinese,change language,Chinese,none
6820,Heat up,increase,heat,none
6821,Set language to English,change language,English,none
6822,Turn the heat down in the bathroom,decrease,heat,washroom
6823,Turn the temperature in the bedroom up,increase,heat,bedroom
6824,OK now switch the main language to Chinese,change language,Chinese,none
6825,Bring some juice,bring,juice,none
6826,Turn the temperature in the bedroom up,increase,heat,bedroom
6827,Turn up the temperature in the bedroom,increase,heat,bedroom
6828,OK now switch the main language to Chinese,change language,Chinese,none
6829,Increase the temperature,increase,heat,none
6830,Turn the lights on,activate,lights,none
6831,Bring newspaper,bring,newspaper,none
6832,Reduce audio volume,decrease,volume,none
6833,Too loud,decrease,volume,none
6834,Bring me my socks,bring,socks,none
6835,Switch on the lamp,activate,lamp,none
6836,Put on the music,activate,music,none
6837,Turn the heat up,increase,heat,none
6838,Lights off,deactivate,lights,none
6839,Turn on the bathroom lights,activate,lights,washroom
6840,"It’s too loud, turn the volume down",decrease,volume,none
6841,Turn the lights on in the kitchen,activate,lights,kitchen
6842,Decrease the heating in the washroom,decrease,heat,washroom
6843,Increase the volume,increase,volume,none
6844,Turn volume down,decrease,volume,none
6845,Put on the music,activate,music,none
6846,Turn on the lights,activate,lights,none
6847,Increase the heating,increase,heat,none
6848,Lights off,deactivate,lights,none
6849,Change language,change language,none,none
6850,Switch the kitchen lights on,activate,lights,kitchen
6851,Lights on in the bathroom,activate,lights,washroom
6852,Resume,activate,music,none
6853,Turn the heat up,increase,heat,none
6854,Turn up the volume,increase,volume,none
6855,Increase the sound,increase,volume,none
6856,Turn up the washroom temperature,increase,heat,washroom
6857,Increase the sound,increase,volume,none
6858,Play,activate,music,none
6859,Bedroom lights on,activate,lights,bedroom
6860,Turn the temperature in the bedroom up,increase,heat,bedroom
6861,Switch on the washroom lights,activate,lights,washroom
6862,Turn down the temperature in the kitchen,decrease,heat,kitchen
6863,Turn on the lights in the bedroom,activate,lights,bedroom
6864,More heat,increase,heat,none
6865,Switch the lights on,activate,lights,none
6866,Turn down the heat in the bathroom,decrease,heat,washroom
6867,Increase the temperature,increase,heat,none
6868,That’s too loud,decrease,volume,none
6869,Get me my socks,bring,socks,none
6870,Play the music,activate,music,none
6871,Decrease volume,decrease,volume,none
6872,OK now switch the main language to English,change language,English,none
6873,Language settings,change language,none,none
6874,OK now switch the main language to German,change language,German,none
6875,Switch the lights off in the kitchen,deactivate,lights,kitchen
6876,Turn the sound up,increase,volume,none
6877,Washroom lights off,deactivate,lights,washroom
6878,Bring some juice,bring,juice,none
6879,Decrease the temperature in the bedroom,decrease,heat,bedroom
6880,Switch off the lights in the kitchen,deactivate,lights,kitchen
6881,Bring me the newspaper,bring,newspaper,none
6882,I need to practice my German. Switch the language,change language,German,none
6883,Decrease the temperature in the washroom,decrease,heat,washroom
6884,Too quiet,increase,volume,none
6885,Increase the heating,increase,heat,none
6886,Turn the heat down in the bathroom,decrease,heat,washroom
6887,OK now switch the main language to Korean,change language,Korean,none
6888,Turn down the heat,decrease,heat,none
6889,Decrease the volume,decrease,volume,none
6890,Resume music,activate,music,none
6891,Heat up,increase,heat,none
6892,Switch on the lights,activate,lights,none
6893,Turn on the lights,activate,lights,none
6894,Play the music,activate,music,none
6895,Bring the newspaper,bring,newspaper,none
6896,Turn the heat down in the bathroom,decrease,heat,washroom
6897,Increase the heating in the bedroom,increase,heat,bedroom
6898,Decrease the heating in the washroom,decrease,heat,washroom
6899,Decrease the temperature in the bedroom,decrease,heat,bedroom
6900,Turn off the lights,deactivate,lights,none
6901,Set my phone's language to Chinese,change language,Chinese,none
6902,Less heat,decrease,heat,none
6903,Turn on the washroom lights,activate,lights,washroom
6904,That's too quiet,increase,volume,none
6905,OK now switch the main language to English,change language,English,none
6906,Volume down,decrease,volume,none
6907,Go get me some juice,bring,juice,none
6908,Turn volume down,decrease,volume,none
6909,Use a different language,change language,none,none
6910,Volume max,increase,volume,none
6911,Bring me some juice,bring,juice,none
6912,Play,activate,music,none
6913,Get me my socks,bring,socks,none
6914,Turn the heat down in the kitchen,decrease,heat,kitchen
6915,Lights off in the washroom,deactivate,lights,washroom
6916,Reduce audio volume,decrease,volume,none
6917,Turn the heat up in the bathroom,increase,heat,washroom
6918,I need to practice my Chinese. Switch the language,change language,Chinese,none
6919,Turn up the volume,increase,volume,none
6920,Set language to Korean,change language,Korean,none
6921,Turn the lights on in the kitchen,activate,lights,kitchen
6922,Turn on the lights,activate,lights,none
6923,Go get the newspaper,bring,newspaper,none
6924,Turn the temperature in the bedroom down,decrease,heat,bedroom
6925,Make it quieter,decrease,volume,none
6926,Switch the kitchen lights on,activate,lights,kitchen
6927,Louder,increase,volume,none
6928,Turn the heat up in the bathroom,increase,heat,washroom
6929,Reduce audio volume,decrease,volume,none
6930,Turn the heat down in the washroom,decrease,heat,washroom
6931,Turn off the lights,deactivate,lights,none
6932,Switch off the lights in the bedroom,deactivate,lights,bedroom
6933,Lights off,deactivate,lights,none
6934,Could you decrease the heating?,decrease,heat,none
6935,Resume music,activate,music,none
6936,Turn off the washroom lights,deactivate,lights,washroom
6937,Lights off in the washroom,deactivate,lights,washroom
6938,Turn down the temperature,decrease,heat,none
6939,Decrease the volume,decrease,volume,none
6940,Play the music,activate,music,none
6941,Lower the volume,decrease,volume,none
6942,Turn sound down,decrease,volume,none
6943,Switch the lights off,deactivate,lights,none
6944,Lights on in the washroom,activate,lights,washroom
6945,I can't hear that,increase,volume,none
6946,Turn the temperature down,decrease,heat,none
6947,Set my phone's language to Korean,change language,Korean,none
6948,Turn off the lights,deactivate,lights,none
6949,More heat,increase,heat,none
6950,Turn up the heat in the washroom,increase,heat,washroom
6951,Make the music softer,decrease,volume,none
6952,Bring me my shoes,bring,shoes,none
6953,Bring me the newspaper,bring,newspaper,none
6954,Lights off,deactivate,lights,none
6955,Turn the lamp off,deactivate,lamp,none
6956,Bring newspaper,bring,newspaper,none
6957,OK now switch the main language to German,change language,German,none
6958,Make it hotter,increase,heat,none
6959,Increase the heating in the bedroom,increase,heat,bedroom
6960,Lights off,deactivate,lights,none
6961,Turn down the volume,decrease,volume,none
6962,Turn volume down,decrease,volume,none
6963,Increase the temperature,increase,heat,none
6964,Far too quiet,increase,volume,none
6965,Bring newspaper,bring,newspaper,none
6966,Make it quieter,decrease,volume,none
6967,Bathroom heat up,increase,heat,washroom
6968,Increase the sound,increase,volume,none
6969,OK now switch the main language to Korean,change language,Korean,none
6970,Switch the language,change language,none,none
6971,Make the music louder,increase,volume,none
6972,Increase the heating in the bedroom,increase,heat,bedroom
6973,Turn off the washroom lights,deactivate,lights,washroom
6974,Switch on the lights,activate,lights,none
6975,Switch on the lights,activate,lights,none
6976,Increase the heating in the bedroom,increase,heat,bedroom
6977,Turn off the lights,deactivate,lights,none
6978,Go get me some juice,bring,juice,none
6979,Resume,activate,music,none
6980,Kitchen lights on,activate,lights,kitchen
6981,Could you decrease the heating?,decrease,heat,none
6982,Decrease the temperature in the kitchen,decrease,heat,kitchen
6983,Turn on the lights,activate,lights,none
6984,Lights off in the bedroom,deactivate,lights,bedroom
6985,Bring juice,bring,juice,none
6986,Bring newspaper,bring,newspaper,none
6987,Switch the lights on,activate,lights,none
6988,Open language settings,change language,none,none
6989,Bedroom heat up,increase,heat,bedroom
6990,Fetch the newspaper,bring,newspaper,none
6991,OK now switch the main language to English,change language,English,none
6992,That's too quiet,increase,volume,none
6993,Decrease audio volume,decrease,volume,none
6994,Turn down the heat in the kitchen,decrease,heat,kitchen
6995,Switch off the lights,deactivate,lights,none
6996,Turn the bedroom lights off,deactivate,lights,bedroom
6997,Switch off the lights,deactivate,lights,none
6998,Turn on the lamp,activate,lamp,none
6999,Turn down the washroom temperature,decrease,heat,washroom
7000,Get me my socks,bring,socks,none
7001,Switch the bedroom lights on,activate,lights,bedroom
7002,Bring socks,bring,socks,none
7003,Turn up the heat,increase,heat,none
7004,Bring my shoes,bring,shoes,none
7005,Turn the bathroom lights on,activate,lights,washroom
7006,Resume music,activate,music,none
7007,Use a different language,change language,none,none
7008,Volume max,increase,volume,none
7009,Turn down the bathroom temperature,decrease,heat,washroom
7010,Play,activate,music,none
7011,Increase the heating in the bedroom,increase,heat,bedroom
7012,Decrease the heating in the washroom,decrease,heat,washroom
7013,Turn down the washroom temperature,decrease,heat,washroom
7014,Bring me the newspaper,bring,newspaper,none
7015,Switch on the lights,activate,lights,none
7016,Lights on in the kitchen,activate,lights,kitchen
7017,Bathroom heat down,decrease,heat,washroom
7018,Change the language,change language,none,none
7019,Turn the bathroom lights on,activate,lights,washroom
7020,Decrease the heating in the bedroom,decrease,heat,bedroom
7021,Set language to German,change language,German,none
7022,Bring newspaper,bring,newspaper,none
7023,OK now switch the main language to Korean,change language,Korean,none
7024,Far too quiet,increase,volume,none
7025,Set language to English,change language,English,none
7026,Bring my shoes,bring,shoes,none
7027,Decrease the temperature in the bathroom,decrease,heat,washroom
7028,Decrease the temperature,decrease,heat,none
7029,Switch on the bathroom lights,activate,lights,washroom
7030,Lights on in the washroom,activate,lights,washroom
7031,Decrease sound levels,decrease,volume,none
7032,Turn up the bedroom heat,increase,heat,bedroom
7033,Lights off,deactivate,lights,none
7034,Decrease the temperature in the kitchen,decrease,heat,kitchen
7035,Turn the volume up,increase,volume,none
7036,Turn up the heat in the washroom,increase,heat,washroom
7037,Turn on the lamp,activate,lamp,none
7038,Turn the heat up in the bathroom,increase,heat,washroom
7039,Decrease the heating,decrease,heat,none
7040,Reduce audio volume,decrease,volume,none
7041,Turn up the temperature in the kitchen,increase,heat,kitchen
7042,Turn off the lights in the bedroom,deactivate,lights,bedroom
7043,Switch the lights off in the kitchen,deactivate,lights,kitchen
7044,Make the music softer,decrease,volume,none
7045,Bring my shoes,bring,shoes,none
7046,Reduce audio volume,decrease,volume,none
7047,Set language to Korean,change language,Korean,none
7048,Open language settings,change language,none,none
7049,Bedroom heat up,increase,heat,bedroom
7050,I need volume,increase,volume,none
7051,Turn the temperature up,increase,heat,none
7052,Decrease sound levels,decrease,volume,none
7053,Switch on the lights in the bedroom,activate,lights,bedroom
7054,Make the music softer,decrease,volume,none
7055,Turn the bedroom lights off,deactivate,lights,bedroom
7056,Set my device to Chinese,change language,Chinese,none
7057,Set language to Chinese,change language,Chinese,none
7058,Lights on in the bathroom,activate,lights,washroom
7059,Put on the music,activate,music,none
7060,Switch off the lights in the bedroom,deactivate,lights,bedroom
7061,I need to practice my English. Switch the language,change language,English,none
7062,Turn the washroom lights on,activate,lights,washroom
7063,Lights on,activate,lights,none
7064,Language settings,change language,none,none
7065,Increase the volume,increase,volume,none
7066,Stop music,deactivate,music,none
7067,Quieter,decrease,volume,none
7068,Turn on the bathroom lights,activate,lights,washroom
7069,Decrease volume,decrease,volume,none
7070,"I need to hear this, increase the volume",increase,volume,none
7071,"I need to hear this, increase the volume",increase,volume,none
7072,Turn off the washroom lights,deactivate,lights,washroom
7073,Volume down,decrease,volume,none
7074,Bedroom lights on,activate,lights,bedroom
7075,Turn the volume down,decrease,volume,none
7076,Decrease the temperature in the washroom,decrease,heat,washroom
7077,Decrease the heating,decrease,heat,none
7078,Switch the lights off,deactivate,lights,none
7079,Decrease sound levels,decrease,volume,none
7080,Switch on the bathroom lights,activate,lights,washroom
7081,Lights off in the washroom,deactivate,lights,washroom
7082,Bedroom lights off,deactivate,lights,bedroom
7083,Stop the music,deactivate,music,none
7084,Lights on in the bedroom,activate,lights,bedroom
7085,Resume music,activate,music,none
7086,Lights on,activate,lights,none
7087,Kitchen heat down,decrease,heat,kitchen
7088,Decrease the temperature in the bathroom,decrease,heat,washroom
7089,Set my phone's language to German,change language,German,none
7090,Louder,increase,volume,none
7091,Decrease the temperature in the kitchen,decrease,heat,kitchen
7092,Turn down the volume,decrease,volume,none
7093,Decrease the temperature in the kitchen,decrease,heat,kitchen
7094,Increase the heating in the bathroom,increase,heat,washroom
7095,Lights off in the washroom,deactivate,lights,washroom
7096,Increase the heating in the kitchen,increase,heat,kitchen
7097,Switch on the washroom lights,activate,lights,washroom
7098,Decrease the temperature in the bathroom,decrease,heat,washroom
7099,Far too loud,decrease,volume,none
7100,"It’s too loud, turn the volume down",decrease,volume,none
7101,"It’s too loud, turn it down",decrease,volume,none
7102,I need volume,increase,volume,none
7103,Turn the temperature down in the washroom,decrease,heat,washroom
7104,Turn the lights on in the kitchen,activate,lights,kitchen
7105,Switch off the lights,deactivate,lights,none
7106,Set language to Chinese,change language,Chinese,none
7107,Increase the temperature in the bathroom,increase,heat,washroom
7108,Change language,change language,none,none
7109,Turn down the heat in the washroom,decrease,heat,washroom
7110,Stop music,deactivate,music,none
7111,Turn the temperature up,increase,heat,none
7112,Turn on the washroom lights,activate,lights,washroom
7113,Turn the volume down,decrease,volume,none
7114,Switch the bedroom lights on,activate,lights,bedroom
7115,Switch on the lights in the kitchen,activate,lights,kitchen
7116,Turn the bedroom lights on,activate,lights,bedroom
7117,Bring shoes,bring,shoes,none
7118,Set my phone's language to Chinese,change language,Chinese,none
7119,Louder,increase,volume,none
7120,Set my phone's language to English,change language,English,none
7121,That's too quiet,increase,volume,none
7122,Lights off in the kitchen,deactivate,lights,kitchen
7123,Turn the bedroom lights on,activate,lights,bedroom
7124,Turn the sound up,increase,volume,none
7125,Volume max,increase,volume,none
7126,Turn off the music,deactivate,music,none
7127,Decrease sound levels,decrease,volume,none
7128,Decrease audio volume,decrease,volume,none
7129,Turn the lights off,deactivate,lights,none
7130,Turn the heat down in the kitchen,decrease,heat,kitchen
7131,Increase the temperature in the bathroom,increase,heat,washroom
7132,Turn up the bedroom heat,increase,heat,bedroom
7133,Make it louder,increase,volume,none
7134,Turn the temperature up in the washroom,increase,heat,washroom
7135,Washroom heat down,decrease,heat,washroom
7136,Bring me the newspaper,bring,newspaper,none
7137,Far too quiet,increase,volume,none
7138,Turn it down,decrease,volume,none
7139,Turn the bedroom heat down,decrease,heat,bedroom
7140,Lights on in the washroom,activate,lights,washroom
7141,Decrease the temperature in the bathroom,decrease,heat,washroom
7142,Turn down the heat in the kitchen,decrease,heat,kitchen
7143,Far too quiet,increase,volume,none
7144,Switch language,change language,none,none
7145,That's too quiet,increase,volume,none
7146,Decrease audio volume,decrease,volume,none
7147,I need to practice my Chinese. Switch the language,change language,Chinese,none
7148,Decrease the heating in the bathroom,decrease,heat,washroom
7149,Turn the washroom lights off,deactivate,lights,washroom
7150,Turn down the temperature in the kitchen,decrease,heat,kitchen
7151,Bring my shoes,bring,shoes,none
7152,Decrease the heating,decrease,heat,none
7153,"It’s too loud, turn the volume down",decrease,volume,none
7154,Set my phone's language to Korean,change language,Korean,none
7155,Turn up the heat in the kitchen,increase,heat,kitchen
7156,Turn down the temperature in the bedroom,decrease,heat,bedroom
7157,Decrease the volume,decrease,volume,none
7158,Increase the sound,increase,volume,none
7159,Bring newspaper,bring,newspaper,none
7160,Turn the heat up in the kitchen,increase,heat,kitchen
7161,Turn it down,decrease,volume,none
7162,Turn the temperature down in the bathroom,decrease,heat,washroom
7163,Start the music,activate,music,none
7164,Bedroom heat down,decrease,heat,bedroom
7165,Could you decrease the heating?,decrease,heat,none
7166,Turn the heat up,increase,heat,none
7167,Switch off the lights in the bedroom,deactivate,lights,bedroom
7168,Switch languages,change language,none,none
7169,Decrease the heating in the bedroom,decrease,heat,bedroom
7170,Switch on the lights in the bedroom,activate,lights,bedroom
7171,Could you increase the heating?,increase,heat,none
7172,Decrease audio volume,decrease,volume,none
7173,Turn down the heat,decrease,heat,none
7174,Switch on the lights in the bedroom,activate,lights,bedroom
7175,Go get me some juice,bring,juice,none
7176,Could you increase the heating?,increase,heat,none
7177,Set language to German,change language,German,none
7178,Get me my shoes,bring,shoes,none
7179,Quieter,decrease,volume,none
7180,Turn down the heat in the bathroom,decrease,heat,washroom
7181,Put on the music,activate,music,none
7182,Turn down the temperature in the kitchen,decrease,heat,kitchen
7183,Fetch my socks,bring,socks,none
7184,Fetch my socks,bring,socks,none
7185,Bathroom heat down,decrease,heat,washroom
7186,Lights on in the washroom,activate,lights,washroom
7187,Turn up the volume,increase,volume,none
7188,Decrease the temperature,decrease,heat,none
7189,Kitchen lights off,deactivate,lights,kitchen
7190,Lamp off,deactivate,lamp,none
7191,Heat up,increase,heat,none
7192,Set language to Korean,change language,Korean,none
7193,Set my phone's language to German,change language,German,none
7194,Louder please,increase,volume,none
7195,Decrease the temperature in the bathroom,decrease,heat,washroom
7196,Bedroom heat up,increase,heat,bedroom
7197,Turn up the heat,increase,heat,none
7198,Turn the lamp off,deactivate,lamp,none
7199,Switch off the lights in the bedroom,deactivate,lights,bedroom
7200,Turn off the music,deactivate,music,none
7201,Heat up,increase,heat,none
7202,Turn the bedroom lights off,deactivate,lights,bedroom
7203,Resume,activate,music,none
7204,Volume mute,decrease,volume,none
7205,Increase the heating in the washroom,increase,heat,washroom
7206,Play music,activate,music,none
7207,Play,activate,music,none
7208,Lights on,activate,lights,none
7209,Kitchen lights off,deactivate,lights,kitchen
7210,I need to practice my Chinese. Switch the language,change language,Chinese,none
7211,Open language settings,change language,none,none
7212,Turn sound down,decrease,volume,none
7213,Turn the lights off,deactivate,lights,none
7214,Make it quieter,decrease,volume,none
7215,Switch off the lights in the kitchen,deactivate,lights,kitchen
7216,Stop,deactivate,music,none
7217,Language settings,change language,none,none
7218,Lights on,activate,lights,none
7219,Switch on the lamp,activate,lamp,none
7220,Turn up the volume,increase,volume,none
7221,Decrease the temperature,decrease,heat,none
7222,Decrease the temperature in the bathroom,decrease,heat,washroom
7223,"It’s too loud, turn the volume down",decrease,volume,none
7224,"It’s too loud, turn it down",decrease,volume,none
7225,Play music,activate,music,none
7226,Decrease the temperature in the kitchen,decrease,heat,kitchen
7227,Switch on the kitchen lights,activate,lights,kitchen
7228,Turn the temperature down in the washroom,decrease,heat,washroom
7229,Kitchen heat down,decrease,heat,kitchen
7230,Decrease audio volume,decrease,volume,none
7231,Bring juice,bring,juice,none
7232,Decrease the heating in the bathroom,decrease,heat,washroom
7233,Set language to English,change language,English,none
7234,Get me my socks,bring,socks,none
7235,Stop the music,deactivate,music,none
7236,Washroom heat down,decrease,heat,washroom
7237,Turn off the washroom lights,deactivate,lights,washroom
7238,Go get me some juice,bring,juice,none
7239,Turn the volume down,decrease,volume,none
7240,Bedroom lights on,activate,lights,bedroom
7241,Turn up the washroom temperature,increase,heat,washroom
7242,Stop music,deactivate,music,none
7243,Decrease the heating in the bathroom,decrease,heat,washroom
7244,Play music,activate,music,none
7245,Switch off the lights in the bedroom,deactivate,lights,bedroom
7246,Resume,activate,music,none
7247,Decrease sound levels,decrease,volume,none
7248,OK now switch the main language to English,change language,English,none
7249,Bedroom heat up,increase,heat,bedroom
7250,Turn the temperature down,decrease,heat,none
7251,Decrease the temperature in the bathroom,decrease,heat,washroom
7252,Quieter,decrease,volume,none
7253,Turn it up,increase,volume,none
7254,Bring some juice,bring,juice,none
7255,Bedroom lights on,activate,lights,bedroom
7256,Make the music softer,decrease,volume,none
7257,Lamp off,deactivate,lamp,none
7258,Too loud,decrease,volume,none
7259,Lights on,activate,lights,none
7260,Pause music,deactivate,music,none
7261,Turn up the bathroom temperature,increase,heat,washroom
7262,Turn the volume down,decrease,volume,none
7263,Switch on the kitchen lights,activate,lights,kitchen
7264,Turn the bathroom lights on,activate,lights,washroom
7265,Bring newspaper,bring,newspaper,none
7266,Set language to English,change language,English,none
7267,Turn off the lights in the bedroom,deactivate,lights,bedroom
7268,Play music,activate,music,none
7269,Could you increase the heating please?,increase,heat,none
7270,Lights off,deactivate,lights,none
7271,Turn the lights on,activate,lights,none
7272,Play music,activate,music,none
7273,Heat up,increase,heat,none
7274,Volume mute,decrease,volume,none
7275,Increase the heating in the washroom,increase,heat,washroom
7276,Increase the volume,increase,volume,none
7277,I need to practice my Chinese. Switch the language,change language,Chinese,none
7278,Turn the temperature up in the bathroom,increase,heat,washroom
7279,Turn down the bathroom temperature,decrease,heat,washroom
7280,Turn the heat up in the kitchen,increase,heat,kitchen
7281,Switch the bedroom lights off,deactivate,lights,bedroom
7282,Lights on,activate,lights,none
7283,Turn off the music,deactivate,music,none
7284,Turn the temperature down in the bathroom,decrease,heat,washroom
7285,Turn down the heat in the washroom,decrease,heat,washroom
7286,Switch the lights on,activate,lights,none
7287,Bedroom heat up,increase,heat,bedroom
7288,Bedroom heat down,decrease,heat,bedroom
7289,Turn up the temperature in the kitchen,increase,heat,kitchen
7290,Far too quiet,increase,volume,none
7291,Louder please,increase,volume,none
7292,Reduce audio volume,decrease,volume,none
7293,Turn down the heat in the washroom,decrease,heat,washroom
7294,Lights on in the bathroom,activate,lights,washroom
7295,Increase the heating in the kitchen,increase,heat,kitchen
7296,I need to practice my Chinese. Switch the language,change language,Chinese,none
7297,Turn up the heat in the bathroom,increase,heat,washroom
7298,Switch the lights off,deactivate,lights,none
7299,Set language to English,change language,English,none
7300,Turn the heat up in the washroom,increase,heat,washroom
7301,Bring my socks,bring,socks,none
7302,Set my phone's language to Korean,change language,Korean,none
7303,Turn the bathroom lights on,activate,lights,washroom
7304,Turn the bedroom heat up,increase,heat,bedroom
7305,Lights off in the washroom,deactivate,lights,washroom
7306,Turn the washroom lights off,deactivate,lights,washroom
7307,Louder,increase,volume,none
7308,Go get me some juice,bring,juice,none
7309,Turn down the bathroom temperature,decrease,heat,washroom
7310,Increase the heating in the bedroom,increase,heat,bedroom
7311,Volume lower,decrease,volume,none
7312,Far too quiet,increase,volume,none
7313,Turn up the heat in the washroom,increase,heat,washroom
7314,Lights on in the kitchen,activate,lights,kitchen
7315,Decrease sound levels,decrease,volume,none
7316,Increase the volume,increase,volume,none
7317,Lights off in the kitchen,deactivate,lights,kitchen
7318,Increase the temperature in the bedroom,increase,heat,bedroom
7319,Could you increase the heating?,increase,heat,none
7320,OK now switch the main language to German,change language,German,none
7321,Increase the heating in the bedroom,increase,heat,bedroom
7322,Heat down,decrease,heat,none
7323,Lights on in the bedroom,activate,lights,bedroom
7324,Louder,increase,volume,none
7325,Turn down the bedroom heat,decrease,heat,bedroom
7326,Turn the temperature up in the washroom,increase,heat,washroom
7327,Kitchen lights off,deactivate,lights,kitchen
7328,OK now switch the main language to German,change language,German,none
7329,Switch languages,change language,none,none
7330,Turn the heat down,decrease,heat,none
7331,Could you increase the heating?,increase,heat,none
7332,Decrease the temperature in the bathroom,decrease,heat,washroom
7333,Bring my socks,bring,socks,none
7334,Turn on the lights in the bedroom,activate,lights,bedroom
7335,Louder,increase,volume,none
7336,Turn it up,increase,volume,none
7337,Bring me my shoes,bring,shoes,none
7338,Increase the heating in the bathroom,increase,heat,washroom
7339,Bring my socks,bring,socks,none
7340,Set the language,change language,none,none
7341,Bedroom lights on,activate,lights,bedroom
7342,Increase the temperature in the bedroom,increase,heat,bedroom
7343,Switch on the lamp,activate,lamp,none
7344,Play the music,activate,music,none
7345,Decrease the heating in the kitchen,decrease,heat,kitchen
7346,Lamp off,deactivate,lamp,none
7347,Turn down the temperature in the kitchen,decrease,heat,kitchen
7348,Switch on the lights in the bedroom,activate,lights,bedroom
7349,Volume lower,decrease,volume,none
7350,Resume,activate,music,none
7351,Set language to Chinese,change language,Chinese,none
7352,Increase the heating in the bedroom,increase,heat,bedroom
7353,Pause the music,deactivate,music,none
7354,Resume,activate,music,none
7355,Turn the temperature up,increase,heat,none
7356,Turn on the kitchen lights,activate,lights,kitchen
7357,Decrease volume,decrease,volume,none
7358,Decrease the temperature,decrease,heat,none
7359,Turn it down,decrease,volume,none
7360,Switch on the kitchen lights,activate,lights,kitchen
7361,Go get me my shoes,bring,shoes,none
7362,Decrease the volume,decrease,volume,none
7363,Switch the bedroom lights on,activate,lights,bedroom
7364,Lights off in the bedroom,deactivate,lights,bedroom
7365,Switch on the lights in the bedroom,activate,lights,bedroom
7366,More heat,increase,heat,none
7367,Turn down the temperature in the bedroom,decrease,heat,bedroom
7368,Switch the bedroom lights off,deactivate,lights,bedroom
7369,Turn up the heat in the bathroom,increase,heat,washroom
7370,Set language to German,change language,German,none
7371,Turn the kitchen temperature up,increase,heat,kitchen
7372,I can't hear that,increase,volume,none
7373,Decrease the volume,decrease,volume,none
7374,Increase the heating in the washroom,increase,heat,washroom
7375,Get me some juice,bring,juice,none
7376,Turn the heat down in the washroom,decrease,heat,washroom
7377,Decrease the temperature in the kitchen,decrease,heat,kitchen
7378,Allow a different language,change language,none,none
7379,Volume down,decrease,volume,none
7380,Louder please,increase,volume,none
7381,Lights on in the washroom,activate,lights,washroom
7382,Start the music,activate,music,none
7383,Turn volume down,decrease,volume,none
7384,Bring some juice,bring,juice,none
7385,Decrease the temperature in the bathroom,decrease,heat,washroom
7386,That's too quiet,increase,volume,none
7387,Louder,increase,volume,none
7388,Turn down the heat,decrease,heat,none
7389,Bathroom heat up,increase,heat,washroom
7390,Turn up the temperature in the bedroom,increase,heat,bedroom
7391,Turn the heat up,increase,heat,none
7392,Make it quieter,decrease,volume,none
7393,Turn the temperature up,increase,heat,none
7394,Decrease the temperature,decrease,heat,none
7395,Turn up the heat,increase,heat,none
7396,Make it louder,increase,volume,none
7397,Turn the lamp on,activate,lamp,none
7398,Switch off the lights in the kitchen,deactivate,lights,kitchen
7399,Turn on the lights,activate,lights,none
7400,Could you increase the heating please?,increase,heat,none
7401,Switch language,change language,none,none
7402,Turn up the heat in the bathroom,increase,heat,washroom
7403,Turn down the heat in the washroom,decrease,heat,washroom
7404,Lamp off,deactivate,lamp,none
7405,That's too quiet,increase,volume,none
7406,Open language settings,change language,none,none
7407,Increase the heating in the washroom,increase,heat,washroom
7408,Get me my shoes,bring,shoes,none
7409,Decrease volume,decrease,volume,none
7410,Turn up the washroom temperature,increase,heat,washroom
7411,Open language settings,change language,none,none
7412,Decrease the heating in the bedroom,decrease,heat,bedroom
7413,Turn the kitchen temperature down,decrease,heat,kitchen
7414,Decrease the heating in the bedroom,decrease,heat,bedroom
7415,Turn volume up,increase,volume,none
7416,Increase the temperature,increase,heat,none
7417,Turn down the heat in the kitchen,decrease,heat,kitchen
7418,Turn the lamp on,activate,lamp,none
